1419548400,100,89,
1419548402,100,90,
1419548404,100,91,
1419548406,100,92,
1419548408,100,94,
1419548410,99,95,
1419548412,99,96,
1419548414,99,94,
1419548416,99,92,
1419548418,99,88,
1419548420,99,88,
1419548422,100,86,
1419548424,100,86,
1419548426,100,86,
1419548428,100,87,
1419548430,100,84,
1419548432,100,85,
1419548434,100,85,
1419548436,100,85,
1419548438,100,87,
1419548440,100,87,
1419548442,100,89,
1419548444,100,90,
1419548446,100,90,
1419548448,100,89,
1419548450,100,90,
1419548452,100,90,
1419548454,100,90,
1419548456,100,90,
1419548458,100,88,
1419548460,99,88,
1419548462,99,88,
1419548464,100,89,
1419548466,100,89,
1419548468,100,90,
1419548470,100,91,
1419548472,100,91,
1419548474,100,92,
1419548476,100,91,
1419548478,100,91,
1419548480,100,90,
1419548482,100,90,
1419548484,100,88,
1419548486,100,89,
1419548488,100,90,
1419548490,100,90,
1419548492,100,87,
1419548494,100,87,
1419548496,100,87,
1419548498,100,88,
1419548500,100,89,
1419548502,100,89,
1419548504,100,91,
1419548506,100,89,
1419548508,100,89,
1419548510,100,88,
1419548512,100,88,
1419548514,100,89,
1419548516,100,89,
1419548518,100,90,
1419548520,100,90,
1419548522,100,89,
1419548524,100,89,
1419548526,100,88,
1419548528,100,88,
1419548530,100,88,
1419548532,100,87,
1419548534,100,88,
1419548536,100,87,
1419548538,100,88,
1419548540,100,88,
1419548542,100,89,
1419548544,100,89,
1419548546,100,90,
1419548548,100,91,
1419548550,100,91,
1419548552,100,91,
1419548554,99,91,
1419548556,99,93,
1419548558,99,92,
1419548560,99,92,
1419548562,99,91,
1419548564,100,90,
1419548566,100,90,
1419548568,100,92,
1419548570,100,92,
1419548572,100,92,
1419548574,100,91,
1419548576,99,91,
1419548578,100,90,
1419548580,100,91,
1419548582,100,91,
1419548584,100,91,
1419548586,100,90,
1419548588,100,88,
1419548590,100,88,
1419548592,100,88,
1419548594,100,87,
1419548596,100,87,
1419548598,100,88,
1419548600,100,88,
1419548602,100,88,
1419548604,100,88,
1419548606,100,89,
1419548608,100,90,
1419548610,100,92,
1419548612,100,92,
1419548614,100,91,
1419548616,100,91,
1419548618,99,89,
1419548620,99,90,
1419548622,99,90,
1419548624,99,89,
1419548626,99,89,
1419548628,100,89,
1419548630,100,90,
1419548632,100,90,
1419548634,99,90,
1419548636,100,89,
1419548638,100,90,
1419548640,100,91,
1419548642,100,90,
1419548644,99,89,
1419548646,99,87,
1419548648,99,88,
1419548650,99,87,
1419548652,99,87,
1419548654,99,85,
1419548656,99,85,
1419548658,99,86,
1419548660,99,87,
1419548662,99,87,
1419548664,99,86,
1419548666,99,87,
1419548668,99,87,
1419548670,99,88,
1419548672,99,88,
1419548674,99,88,
1419548676,99,87,
1419548678,99,87,
1419548680,99,87,
1419548682,99,87,
1419548684,99,88,
1419548686,99,88,
1419548688,99,90,
1419548690,99,90,
1419548692,99,91,
1419548694,99,90,
1419548696,99,90,
1419548698,99,88,
1419548700,99,88,
1419548702,99,88,
1419548704,99,87,
1419548706,99,88,
1419548708,99,88,
1419548710,99,88,
1419548712,99,88,
1419548714,99,87,
1419548716,99,87,
1419548718,99,87,
1419548720,99,88,
1419548722,99,88,
1419548724,99,88,
1419548726,99,89,
1419548728,99,89,
1419548730,99,90,
1419548732,99,89,
1419548734,99,90,
1419548736,99,90,
1419548738,99,90,
1419548740,99,90,
1419548742,99,90,
1419548744,99,90,
1419548746,99,91,
1419548748,99,91,
1419548750,99,91,
